연도,월,기준월,시도,충전량_kWh,충전횟수,충전시간_h,활성충전기수
2019,6,2019-06,충남,152390.3,8628.0,2186.0,161.0
2019,6,2019-06,충북,133451.44,7680.0,1927.26,144.0
2019,7,2019-07,강원,128872.61,7131.0,1771.0,227.0
2019,7,2019-07,경기,217783.92,12136.0,3144.33,202.0
2019,7,2019-07,경남,134463.44,7464.0,1949.56,160.0
2019,7,2019-07,경북,275625.38,15265.0,3906.96,276.0
2019,7,2019-07,광주,33783.73,1794.0,382.72,38.0
2019,7,2019-07,대구,73887.07,3973.0,903.91,68.0
2019,7,2019-07,대전,44864.27,2172.0,483.19,53.0
2019,7,2019-07,부산,27653.67,1468.0,344.37,31.0
2019,7,2019-07,서울,71461.68,4089.0,918.03,73.0
2019,7,2019-07,세종,16717.95,820.0,188.79,22.0
2019,7,2019-07,울산,39607.81,2239.0,543.65,81.0
2019,7,2019-07,인천,51219.02,2455.0,575.61,60.0
2019,7,2019-07,전남,100774.62,5543.0,1343.4,161.0
2019,7,2019-07,전북,112036.54,5898.0,1493.11,129.0
2019,7,2019-07,제주,156568.39,9892.0,2390.36,82.0
2019,7,2019-07,충남,161755.66,8822.0,2233.41,163.0
2019,7,2019-07,충북,149043.91,8114.0,2096.75,144.0
2019,8,2019-08,강원,162794.54,8940.0,2189.16,223.0
2019,8,2019-08,경기,252434.33,13829.0,3576.3,203.0
2019,8,2019-08,경남,161105.7,9009.0,2310.22,161.0
2019,8,2019-08,경북,327647.47,17807.0,4606.11,276.0
2019,8,2019-08,광주,39746.89,2012.0,443.23,38.0
2019,8,2019-08,대구,81759.1,4434.0,1053.22,74.0
2019,8,2019-08,대전,58751.66,2776.0,606.24,51.0
2019,8,2019-08,부산,34846.21,1900.0,447.37,29.0
2019,8,2019-08,서울,80141.83,4444.0,1002.31,73.0
2019,8,2019-08,세종,17731.9,855.0,206.08,22.0
2019,8,2019-08,울산,51279.05,2791.0,659.36,82.0
2019,8,2019-08,인천,54661.12,2560.0,570.44,60.0
2019,8,2019-08,전남,120824.72,6610.0,1581.95,164.0
2019,8,2019-08,전북,137346.51,7042.0,1773.87,132.0
2019,8,2019-08,제주,181736.61,11375.0,2704.38,83.0
2019,8,2019-08,충남,187515.99,10068.0,2580.22,165.0
2019,8,2019-08,충북,177952.74,9516.0,2425.68,146.0
2019,9,2019-09,강원,127784.87,6896.0,1733.59,220.0
2019,9,2019-09,경기,234308.06,12937.0,3349.92,203.0
2019,9,2019-09,경남,132275.32,7588.0,1965.55,163.0
2019,9,2019-09,경북,295545.14,16100.0,4154.6,273.0
2019,9,2019-09,광주,33177.69,1756.0,410.19,38.0
2019,9,2019-09,대구,78284.93,4251.0,1005.83,76.0
2019,9,2019-09,대전,56696.55,2742.0,620.62,55.0
2019,9,2019-09,부산,30397.42,1632.0,391.56,31.0
2019,9,2019-09,서울,70492.33,3976.0,932.17,75.0
2019,9,2019-09,세종,16299.04,871.0,202.94,24.0
2019,9,2019-09,울산,53020.32,2870.0,679.71,82.0
2019,9,2019-09,인천,50428.26,2400.0,559.78,61.0
2019,9,2019-09,전남,102682.23,5644.0,1354.86,163.0
2019,9,2019-09,전북,121911.3,6358.0,1625.6,128.0
2019,9,2019-09,제주,143606.72,9090.0,2202.91,81.0
2019,9,2019-09,충남,166191.62,8836.0,2301.18,161.0
2019,9,2019-09,충북,156545.23,8531.0,2229.59,141.0
2019,10,2019-10,강원,138912.49,7732.0,1874.14,222.0
2019,10,2019-10,경기,258159.61,14451.0,3595.9,201.0
2019,10,2019-10,경남,143185.11,8319.0,2091.55,167.0
2019,10,2019-10,경북,322849.12,17805.0,4467.8,273.0
2019,10,2019-10,광주,35655.41,1965.0,427.16,38.0
2019,10,2019-10,대구,79295.77,4351.0,1005.12,75.0
2019,10,2019-10,대전,59272.25,2977.0,649.37,57.0
2019,10,2019-10,부산,31064.78,1762.0,400.4,34.0
2019,10,2019-10,서울,68347.78,3974.0,920.46,75.0
2019,10,2019-10,세종,14412.49,760.0,171.04,22.0
2019,10,2019-10,울산,52324.78,2892.0,673.9,81.0
2019,10,2019-10,인천,51203.77,2558.0,583.75,59.0
2019,10,2019-10,전남,103450.54,5814.0,1366.61,164.0
2019,10,2019-10,전북,129031.6,6906.0,1679.97,128.0
2019,10,2019-10,제주,148889.52,9414.0,2172.19,78.0
2019,10,2019-10,충남,191594.48,10243.0,2537.31,166.0
2019,10,2019-10,충북,167776.58,9232.0,2355.08,147.0
2019,11,2019-11,강원,143812.94,8485.0,1977.32,218.0
2019,11,2019-11,경기,279273.02,16045.0,3913.32,201.0
2019,11,2019-11,경남,143868.72,8442.0,2121.88,166.0
2019,11,2019-11,경북,331842.85,18978.0,4527.85,277.0
2019,11,2019-11,광주,42971.34,2368.0,475.61,39.0
2019,11,2019-11,대구,89720.14,5052.0,1066.6,74.0
2019,11,2019-11,대전,62768.51,3267.0,680.29,55.0
2019,11,2019-11,부산,36740.43,2073.0,474.51,35.0
2019,11,2019-11,서울,82426.99,4808.0,1006.41,72.0
2019,11,2019-11,세종,15355.04,887.0,189.11,20.0
2019,11,2019-11,울산,62934.84,3322.0,726.78,79.0
2019,11,2019-11,인천,60450.93,3198.0,695.05,59.0
2019,11,2019-11,전남,107496.21,6310.0,1421.32,177.0
2019,11,2019-11,전북,142026.4,7738.0,1806.01,127.0
2019,11,2019-11,제주,146222.71,9274.0,2176.69,83.0
2019,11,2019-11,충남,201440.42,11213.0,2682.3,163.0
2019,11,2019-11,충북,189175.68,10564.0,2542.22,148.0
2019,12,2019-12,강원,152921.54,9529.0,2108.82,247.0
2019,12,2019-12,경기,293410.96,17627.0,4236.04,240.0
2019,12,2019-12,경남,147728.31,8925.0,2201.28,171.0
2019,12,2019-12,경북,356049.56,21130.0,4881.83,288.0
2019,12,2019-12,광주,47802.88,2724.0,538.52,42.0
2019,12,2019-12,대구,98566.21,5738.0,1216.82,76.0
2019,12,2019-12,대전,73077.69,4068.0,793.23,61.0
2019,12,2019-12,부산,42229.85,2527.0,548.88,38.0
2019,12,2019-12,서울,93950.22,5774.0,1168.0,79.0
2019,12,2019-12,세종,17046.98,1029.0,213.11,20.0
2019,12,2019-12,울산,67104.12,3802.0,833.59,83.0
2019,12,2019-12,인천,71695.98,4078.0,804.65,58.0
2019,12,2019-12,전남,106067.36,6615.0,1463.51,168.0
2019,12,2019-12,전북,140736.7,7933.0,1839.13,132.0
2019,12,2019-12,제주,153870.32,9807.0,2275.67,83.0
2019,12,2019-12,충남,203556.87,11696.0,2733.25,165.0
2019,12,2019-12,충북,193726.27,10931.0,2610.76,149.0
2020,1,2020-01,강원,150486.07,9269.0,2079.32,234.0
2020,1,2020-01,경기,267356.68,16240.0,4002.7,238.0
2020,1,2020-01,경남,143576.87,8722.0,2133.34,174.0
2020,1,2020-01,경북,346742.86,20568.0,4803.64,345.0
2020,1,2020-01,광주,42484.52,2486.0,495.6,46.0
2020,1,2020-01,대구,112619.38,6483.0,1314.63,80.0
2020,1,2020-01,대전,68054.21,3821.0,745.38,66.0
2020,1,2020-01,부산,40030.42,2438.0,510.75,47.0
2020,1,2020-01,서울,85502.23,5351.0,1095.93,111.0
2020,1,2020-01,세종,17517.15,1045.0,210.96,24.0
2020,1,2020-01,울산,56265.48,3286.0,715.41,89.0
2020,1,2020-01,인천,67363.11,3945.0,786.45,81.0
2020,1,2020-01,전남,99064.11,6340.0,1393.17,212.0
2020,1,2020-01,전북,132956.34,7552.0,1726.81,165.0
2020,1,2020-01,제주,142058.87,9382.0,2145.32,116.0
2020,1,2020-01,충남,191219.7,11245.0,2651.42,191.0
2020,1,2020-01,충북,183905.16,10466.0,2460.18,174.0
2020,2,2020-02,강원,121679.43,7440.0,1711.78,225.0
2020,2,2020-02,경기,226490.16,13371.0,3359.63,210.0
2020,2,2020-02,경남,107012.48,6702.0,1662.05,167.0
2020,2,2020-02,경북,253678.14,15030.0,3602.15,277.0
2020,2,2020-02,광주,31760.44,1917.0,389.06,39.0
2020,2,2020-02,대구,88823.42,5186.0,1066.23,75.0
2020,2,2020-02,대전,51466.79,2881.0,605.69,50.0
2020,2,2020-02,부산,33338.77,1998.0,420.01,33.0
2020,2,2020-02,서울,73389.44,4579.0,935.04,75.0
2020,2,2020-02,세종,14542.53,901.0,185.24,22.0
2020,2,2020-02,울산,45033.18,2628.0,595.57,82.0
