기준월,연도,월,시도,충전량_kWh,value_status,관측값,estimated_value,하한_80,상한_80,모형ID,출처ID
2019-05,2019,5,대전,37419.56,observed,37419.56,,,,,moe_public_fast_monthly
2019-05,2019,5,부산,24656.17,observed,24656.17,,,,,moe_public_fast_monthly
2019-05,2019,5,서울,49020.08,observed,49020.08,,,,,moe_public_fast_monthly
2019-05,2019,5,세종,15532.7,observed,15532.7,,,,,moe_public_fast_monthly
2019-05,2019,5,울산,27254.16,observed,27254.16,,,,,moe_public_fast_monthly
2019-05,2019,5,인천,30544.45,observed,30544.45,,,,,moe_public_fast_monthly
2019-05,2019,5,전남,71204.36,observed,71204.36,,,,,moe_public_fast_monthly
2019-05,2019,5,전북,99995.37,observed,99995.37,,,,,moe_public_fast_monthly
2019-05,2019,5,제주,100159.71,observed,100159.71,,,,,moe_public_fast_monthly
2019-05,2019,5,충남,148587.63,observed,148587.63,,,,,moe_public_fast_monthly
2019-05,2019,5,충북,124930.94,observed,124930.94,,,,,moe_public_fast_monthly
2019-06,2019,6,강원,114904.23,observed,114904.23,,,,,moe_public_fast_monthly
2019-06,2019,6,경기,190679.26,observed,190679.26,,,,,moe_public_fast_monthly
2019-06,2019,6,경남,117930.55,observed,117930.55,,,,,moe_public_fast_monthly
2019-06,2019,6,경북,243918.81,observed,243918.81,,,,,moe_public_fast_monthly
2019-06,2019,6,광주,17768.59,observed,17768.59,,,,,moe_public_fast_monthly
2019-06,2019,6,대구,71416.66,observed,71416.66,,,,,moe_public_fast_monthly
2019-06,2019,6,대전,40059.0,observed,40059.0,,,,,moe_public_fast_monthly
2019-06,2019,6,부산,26265.97,observed,26265.97,,,,,moe_public_fast_monthly
2019-06,2019,6,서울,50341.53,observed,50341.53,,,,,moe_public_fast_monthly
2019-06,2019,6,세종,18199.24,observed,18199.24,,,,,moe_public_fast_monthly
2019-06,2019,6,울산,30624.36,observed,30624.36,,,,,moe_public_fast_monthly
2019-06,2019,6,인천,50592.82,observed,50592.82,,,,,moe_public_fast_monthly
2019-06,2019,6,전남,84787.62,observed,84787.62,,,,,moe_public_fast_monthly
2019-06,2019,6,전북,101786.53,observed,101786.53,,,,,moe_public_fast_monthly
2019-06,2019,6,제주,139825.85,observed,139825.85,,,,,moe_public_fast_monthly
2019-06,2019,6,충남,152390.3,observed,152390.3,,,,,moe_public_fast_monthly
2019-06,2019,6,충북,133451.44,observed,133451.44,,,,,moe_public_fast_monthly
2019-07,2019,7,강원,128872.61,observed,128872.61,,,,,moe_public_fast_monthly
2019-07,2019,7,경기,217783.92,observed,217783.92,,,,,moe_public_fast_monthly
2019-07,2019,7,경남,134463.44,observed,134463.44,,,,,moe_public_fast_monthly
2019-07,2019,7,경북,275625.38,observed,275625.38,,,,,moe_public_fast_monthly
2019-07,2019,7,광주,33783.73,observed,33783.73,,,,,moe_public_fast_monthly
2019-07,2019,7,대구,73887.07,observed,73887.07,,,,,moe_public_fast_monthly
2019-07,2019,7,대전,44864.27,observed,44864.27,,,,,moe_public_fast_monthly
2019-07,2019,7,부산,27653.67,observed,27653.67,,,,,moe_public_fast_monthly
2019-07,2019,7,서울,71461.68,observed,71461.68,,,,,moe_public_fast_monthly
2019-07,2019,7,세종,16717.95,observed,16717.95,,,,,moe_public_fast_monthly
2019-07,2019,7,울산,39607.81,observed,39607.81,,,,,moe_public_fast_monthly
2019-07,2019,7,인천,51219.02,observed,51219.02,,,,,moe_public_fast_monthly
2019-07,2019,7,전남,100774.62,observed,100774.62,,,,,moe_public_fast_monthly
2019-07,2019,7,전북,112036.54,observed,112036.54,,,,,moe_public_fast_monthly
2019-07,2019,7,제주,156568.39,observed,156568.39,,,,,moe_public_fast_monthly
2019-07,2019,7,충남,161755.66,observed,161755.66,,,,,moe_public_fast_monthly
2019-07,2019,7,충북,149043.91,observed,149043.91,,,,,moe_public_fast_monthly
2019-08,2019,8,강원,162794.54,observed,162794.54,,,,,moe_public_fast_monthly
2019-08,2019,8,경기,252434.33,observed,252434.33,,,,,moe_public_fast_monthly
2019-08,2019,8,경남,161105.7,observed,161105.7,,,,,moe_public_fast_monthly
2019-08,2019,8,경북,327647.47,observed,327647.47,,,,,moe_public_fast_monthly
2019-08,2019,8,광주,39746.89,observed,39746.89,,,,,moe_public_fast_monthly
2019-08,2019,8,대구,81759.1,observed,81759.1,,,,,moe_public_fast_monthly
2019-08,2019,8,대전,58751.66,observed,58751.66,,,,,moe_public_fast_monthly
2019-08,2019,8,부산,34846.21,observed,34846.21,,,,,moe_public_fast_monthly
2019-08,2019,8,서울,80141.83,observed,80141.83,,,,,moe_public_fast_monthly
2019-08,2019,8,세종,17731.9,observed,17731.9,,,,,moe_public_fast_monthly
2019-08,2019,8,울산,51279.05,observed,51279.05,,,,,moe_public_fast_monthly
2019-08,2019,8,인천,54661.12,observed,54661.12,,,,,moe_public_fast_monthly
2019-08,2019,8,전남,120824.72,observed,120824.72,,,,,moe_public_fast_monthly
2019-08,2019,8,전북,137346.51,observed,137346.51,,,,,moe_public_fast_monthly
2019-08,2019,8,제주,181736.61,observed,181736.61,,,,,moe_public_fast_monthly
2019-08,2019,8,충남,187515.99,observed,187515.99,,,,,moe_public_fast_monthly
2019-08,2019,8,충북,177952.74,observed,177952.74,,,,,moe_public_fast_monthly
2019-09,2019,9,강원,127784.87,observed,127784.87,,,,,moe_public_fast_monthly
2019-09,2019,9,경기,234308.06,observed,234308.06,,,,,moe_public_fast_monthly
2019-09,2019,9,경남,132275.32,observed,132275.32,,,,,moe_public_fast_monthly
2019-09,2019,9,경북,295545.14,observed,295545.14,,,,,moe_public_fast_monthly
2019-09,2019,9,광주,33177.69,observed,33177.69,,,,,moe_public_fast_monthly
2019-09,2019,9,대구,78284.93,observed,78284.93,,,,,moe_public_fast_monthly
2019-09,2019,9,대전,56696.55,observed,56696.55,,,,,moe_public_fast_monthly
2019-09,2019,9,부산,30397.42,observed,30397.42,,,,,moe_public_fast_monthly
2019-09,2019,9,서울,70492.33,observed,70492.33,,,,,moe_public_fast_monthly
2019-09,2019,9,세종,16299.04,observed,16299.04,,,,,moe_public_fast_monthly
2019-09,2019,9,울산,53020.32,observed,53020.32,,,,,moe_public_fast_monthly
2019-09,2019,9,인천,50428.26,observed,50428.26,,,,,moe_public_fast_monthly
2019-09,2019,9,전남,102682.23,observed,102682.23,,,,,moe_public_fast_monthly
2019-09,2019,9,전북,121911.3,observed,121911.3,,,,,moe_public_fast_monthly
2019-09,2019,9,제주,143606.72,observed,143606.72,,,,,moe_public_fast_monthly
2019-09,2019,9,충남,166191.62,observed,166191.62,,,,,moe_public_fast_monthly
