기준월,연도,월,시도,예측값,value_status,component_moe_scaled,component_load_share,weight_moe,weight_load,모형ID,충전량_kWh,관측값,estimated_value,출처ID
2019-03,2019,3,경북,79301.93,estimated,79301.93,132197.38,1.0,0.0,kepco_hybrid_moe_load_v1,79301.93,,79301.93,kepco_hybrid_forecast_v1
2019-03,2019,3,광주,26759.39,estimated,26759.39,54874.38,1.0,0.0,kepco_hybrid_moe_load_v1,26759.39,,26759.39,kepco_hybrid_forecast_v1
2019-03,2019,3,대구,112328.15,estimated,112328.15,122220.22,1.0,0.0,kepco_hybrid_moe_load_v1,112328.15,,112328.15,kepco_hybrid_forecast_v1
2019-03,2019,3,대전,27737.06,estimated,27737.06,64020.12,1.0,0.0,kepco_hybrid_moe_load_v1,27737.06,,27737.06,kepco_hybrid_forecast_v1
2019-03,2019,3,부산,27163.98,estimated,27163.98,88131.59,1.0,0.0,kepco_hybrid_moe_load_v1,27163.98,,27163.98,kepco_hybrid_forecast_v1
2019-03,2019,3,서울,69894.51,estimated,69894.51,369154.95,1.0,0.0,kepco_hybrid_moe_load_v1,69894.51,,69894.51,kepco_hybrid_forecast_v1
2019-03,2019,3,세종,27648.27,estimated,27648.27,46560.08,1.0,0.0,kepco_hybrid_moe_load_v1,27648.27,,27648.27,kepco_hybrid_forecast_v1
2019-03,2019,3,울산,10901.52,estimated,10901.52,29931.48,1.0,0.0,kepco_hybrid_moe_load_v1,10901.52,,10901.52,kepco_hybrid_forecast_v1
2019-03,2019,3,인천,21931.18,estimated,21931.18,88131.59,1.0,0.0,kepco_hybrid_moe_load_v1,21931.18,,21931.18,kepco_hybrid_forecast_v1
2019-03,2019,3,전남,87570.08,estimated,87570.08,130534.52,1.0,0.0,kepco_hybrid_moe_load_v1,87570.08,,87570.08,kepco_hybrid_forecast_v1
2019-03,2019,3,전북,34597.48,estimated,34597.48,102265.9,1.0,0.0,kepco_hybrid_moe_load_v1,34597.48,,34597.48,kepco_hybrid_forecast_v1
2019-03,2019,3,제주,156854.53,estimated,156854.53,138017.39,1.0,0.0,kepco_hybrid_moe_load_v1,156854.53,,156854.53,kepco_hybrid_forecast_v1
2019-03,2019,3,충남,37859.05,estimated,37859.05,85637.3,1.0,0.0,kepco_hybrid_moe_load_v1,37859.05,,37859.05,kepco_hybrid_forecast_v1
2019-03,2019,3,충북,60336.94,estimated,60336.94,108917.34,1.0,0.0,kepco_hybrid_moe_load_v1,60336.94,,60336.94,kepco_hybrid_forecast_v1
2019-04,2019,4,강원,72391.17,estimated,72391.17,123087.31,1.0,0.0,kepco_hybrid_moe_load_v1,72391.17,,72391.17,kepco_hybrid_forecast_v1
2019-04,2019,4,경기,166128.67,estimated,166128.67,460091.87,1.0,0.0,kepco_hybrid_moe_load_v1,166128.67,,166128.67,kepco_hybrid_forecast_v1
2019-04,2019,4,경남,117204.98,estimated,117204.98,154495.79,1.0,0.0,kepco_hybrid_moe_load_v1,117204.98,,117204.98,kepco_hybrid_forecast_v1
2019-04,2019,4,경북,99184.75,estimated,99184.75,134971.6,1.0,0.0,kepco_hybrid_moe_load_v1,99184.75,,99184.75,kepco_hybrid_forecast_v1
2019-04,2019,4,광주,32140.88,estimated,32140.88,56025.95,1.0,0.0,kepco_hybrid_moe_load_v1,32140.88,,32140.88,kepco_hybrid_forecast_v1
2019-04,2019,4,대구,133562.82,estimated,133562.82,124785.06,1.0,0.0,kepco_hybrid_moe_load_v1,133562.82,,133562.82,kepco_hybrid_forecast_v1
2019-04,2019,4,대전,37879.77,estimated,37879.77,65363.6,1.0,0.0,kepco_hybrid_moe_load_v1,37879.77,,37879.77,kepco_hybrid_forecast_v1
2019-04,2019,4,부산,37854.19,estimated,37854.19,89981.07,1.0,0.0,kepco_hybrid_moe_load_v1,37854.19,,37854.19,kepco_hybrid_forecast_v1
2019-04,2019,4,서울,82343.15,estimated,82343.15,376901.83,1.0,0.0,kepco_hybrid_moe_load_v1,82343.15,,82343.15,kepco_hybrid_forecast_v1
2019-04,2019,4,세종,56810.87,estimated,56810.87,47537.17,1.0,0.0,kepco_hybrid_moe_load_v1,56810.87,,56810.87,kepco_hybrid_forecast_v1
2019-04,2019,4,울산,12515.33,estimated,12515.33,30559.61,1.0,0.0,kepco_hybrid_moe_load_v1,12515.33,,12515.33,kepco_hybrid_forecast_v1
