기준월,시도,actual,forecast,component_moe_scaled,component_load_share,weight_moe,weight_load,잔차,pct_error
2020-04,세종,75697.66,44986.64,44986.64,43439.71,1.0,0.0,-30711.02,-40.57
2020-04,경기,264294.51,272642.15,272642.15,437342.15,1.0,0.0,8347.64,3.16
2020-04,강원,124607.26,125070.99,125070.99,121483.93,1.0,0.0,463.73,0.37
2020-04,충북,105270.4,111358.29,111358.29,113385.0,1.0,0.0,6087.89,5.78
2020-04,충남,77843.44,81139.22,81139.22,100868.48,1.0,0.0,3295.78,4.23
2020-04,전북,76761.05,82518.21,82518.21,103077.28,1.0,0.0,5757.16,7.5
2020-04,전남,180622.67,182365.09,182365.09,124429.0,1.0,0.0,1742.42,0.96
2020-04,경북,147633.88,148690.1,148690.1,172286.3,1.0,0.0,1056.22,0.72
2020-04,경남,152842.06,154075.77,154075.77,195846.82,1.0,0.0,1233.71,0.81
2020-04,제주,280943.64,271208.54,271208.54,122220.2,1.0,0.0,-9735.1,-3.47
2020-05,서울,262626.46,196441.56,196441.56,379347.47,1.0,0.0,-66184.9,-25.2
2020-05,부산,76873.85,76744.97,76744.97,91867.03,1.0,0.0,-128.88,-0.17
2020-05,대구,233097.37,243894.24,243894.24,127505.1,1.0,0.0,10796.87,4.63
2020-05,인천,76520.27,79222.43,79222.43,96618.77,1.0,0.0,2702.16,3.53
2020-05,광주,115507.44,85453.73,85453.73,62564.61,1.0,0.0,-30053.71,-26.02
2020-05,대전,106188.99,112501.27,112501.27,68900.27,1.0,0.0,6312.28,5.94
2020-05,울산,28410.9,29249.54,29249.54,30094.37,1.0,0.0,838.64,2.95
2020-05,세종,79284.58,48248.55,48248.55,46725.47,1.0,0.0,-31036.03,-39.15
2020-05,경기,290844.0,291907.17,291907.17,470422.54,1.0,0.0,1063.17,0.37
2020-05,강원,134213.11,148979.98,148979.98,130672.93,1.0,0.0,14766.87,11.0
2020-05,충북,118863.31,122686.28,122686.28,121961.4,1.0,0.0,3822.97,3.22
2020-05,충남,82569.16,88405.82,88405.82,108498.13,1.0,0.0,5836.66,7.07
2020-05,전북,82784.12,96043.37,96043.37,110874.0,1.0,0.0,13259.25,16.02
2020-05,전남,191329.85,194775.93,194775.93,133840.76,1.0,0.0,3446.08,1.8
2020-05,경북,161176.06,172945.56,172945.56,185317.97,1.0,0.0,11769.5,7.3
2020-05,경남,160800.76,190346.37,190346.37,210660.6,1.0,0.0,29545.61,18.37
2020-05,제주,306246.06,312013.69,312013.69,131464.88,1.0,0.0,5767.63,1.88
2020-06,서울,268231.93,261638.41,261638.41,815988.53,1.0,0.0,-6593.52,-2.46
2020-06,부산,76316.07,96019.11,96019.11,197608.91,1.0,0.0,19703.04,25.82
2020-06,대구,233328.1,283334.21,283334.21,274267.54,1.0,0.0,50006.11,21.43
2020-06,인천,70929.85,95967.83,95967.83,207830.07,1.0,0.0,25037.98,35.3
2020-06,광주,90137.73,95355.91,95355.91,134578.48,1.0,0.0,5218.18,5.79
2020-06,대전,95656.82,127588.98,127588.98,148206.69,1.0,0.0,31932.16,33.38
2020-06,울산,27174.07,30928.35,30928.35,64733.95,1.0,0.0,3754.28,13.82
2020-06,세종,3074367.7,63215.15,63215.15,100507.98,1.0,0.0,-3011152.55,-97.94
2020-06,경기,270671.83,330457.63,330457.63,1011893.92,1.0,0.0,59785.8,22.09
2020-06,강원,129408.95,158168.84,158168.84,281081.65,1.0,0.0,28759.89,22.22
2020-06,충북,107000.3,124629.31,124629.31,262342.87,1.0,0.0,17629.01,16.48
2020-06,충남,75362.57,91377.85,91377.85,233382.94,1.0,0.0,16015.28,21.25
2020-06,전북,69885.99,100444.02,100444.02,238493.52,1.0,0.0,30558.03,43.73
2020-06,전남,178627.53,197831.76,197831.76,287895.75,1.0,0.0,19204.23,10.75
2020-06,경북,182781.22,185156.81,185156.81,398624.88,1.0,0.0,2375.59,1.3
2020-06,경남,145882.54,202998.72,202998.72,453137.68,1.0,0.0,57116.18,39.15
2020-06,제주,297597.34,357180.99,357180.99,282785.17,1.0,0.0,59583.65,20.02
