기준월,연도,월,시도,metric_name,예측값,하한_80,상한_80,모형ID,train_start,train_end,backtest_wape,value_status,generated_at,예측버전
2025-11,2025,11,세종,charge_kwh_sum,73114.98,65576.83,94098.98,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,세종,charge_kwh_sum,81389.68,72998.4,104748.52,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-09,2025,9,경기,charge_kwh_sum,1888050.91,1693392.86,2429921.52,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-10,2025,10,경기,charge_kwh_sum,1897815.7,1702150.9,2442488.81,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-11,2025,11,경기,charge_kwh_sum,2037548.99,1827477.69,2622325.55,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,경기,charge_kwh_sum,2381304.73,2135792.21,3064739.19,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-09,2025,9,강원,charge_kwh_sum,756467.04,678475.29,973573.08,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-10,2025,10,강원,charge_kwh_sum,811784.77,728089.76,1044767.0,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-11,2025,11,강원,charge_kwh_sum,793869.23,712021.31,1021709.7,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,강원,charge_kwh_sum,891668.32,799737.32,1147577.13,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-09,2025,9,충북,charge_kwh_sum,1028206.41,922198.33,1323301.65,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-10,2025,10,충북,charge_kwh_sum,1039941.61,932723.63,1338404.85,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-11,2025,11,충북,charge_kwh_sum,1146341.98,1028154.12,1475342.13,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,충북,charge_kwh_sum,1223150.87,1097044.02,1574195.17,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-09,2025,9,충남,charge_kwh_sum,1229263.93,1102526.82,1582062.68,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-10,2025,10,충남,charge_kwh_sum,1206684.85,1082275.64,1553003.4,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-11,2025,11,충남,charge_kwh_sum,1267572.33,1136885.62,1631365.59,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,충남,charge_kwh_sum,1362172.37,1221732.4,1753115.84,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-09,2025,9,전북,charge_kwh_sum,912119.74,818080.19,1173898.11,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-10,2025,10,전북,charge_kwh_sum,861858.78,773001.14,1109212.25,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-11,2025,11,전북,charge_kwh_sum,927539.32,831910.02,1193743.1,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,전북,charge_kwh_sum,971875.19,871674.86,1250803.37,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-09,2025,9,전남,charge_kwh_sum,843336.65,756388.64,1085374.27,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-10,2025,10,전남,charge_kwh_sum,761476.28,682968.08,980019.97,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-11,2025,11,전남,charge_kwh_sum,826326.47,741132.21,1063482.17,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,전남,charge_kwh_sum,884722.09,793507.24,1138637.33,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-09,2025,9,경북,charge_kwh_sum,1461054.79,1310420.04,1880377.51,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-10,2025,10,경북,charge_kwh_sum,1412016.54,1266437.63,1817265.29,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-11,2025,11,경북,charge_kwh_sum,1515569.75,1359314.51,1950538.27,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,경북,charge_kwh_sum,1658169.85,1487212.54,2134064.6,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-09,2025,9,경남,charge_kwh_sum,1168584.36,1048103.31,1503968.07,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-10,2025,10,경남,charge_kwh_sum,1129581.21,1013121.39,1453771.02,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-11,2025,11,경남,charge_kwh_sum,1167405.03,1047045.57,1502450.27,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,경남,charge_kwh_sum,1287286.9,1154567.62,1656738.24,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-09,2025,9,제주,charge_kwh_sum,637162.1,571470.69,820027.62,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-10,2025,10,제주,charge_kwh_sum,585027.02,524710.73,752929.77,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-11,2025,11,제주,charge_kwh_sum,585298.62,524954.33,753279.32,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
2025-12,2025,12,제주,charge_kwh_sum,667706.83,598866.26,859338.69,seasonal_naive,2019-01,2025-08,10.64,estimated,2026-08-11T07:02:18.021438+00:00,1.0.0
