기준월,연도,월,권역,급속_대당,완속_대당,합계_대당,급속비중,완속비중,합계비중,완속급속강도비
2026-03,2026,3,서울,0.64,7.7,8.35,10.5,17.0,16.2,12.03
2026-03,2026,3,경기,0.77,8.08,8.85,12.6,17.9,17.2,10.49
2026-03,2026,3,인천,0.33,4.04,4.38,5.4,8.9,8.5,12.24
2026-03,2026,3,강원,1.38,6.75,8.14,22.7,14.9,15.8,4.89
2026-03,2026,3,충청,0.85,6.07,6.93,14.0,13.4,13.5,7.14
2026-03,2026,3,전라,0.93,5.61,6.54,15.3,12.4,12.7,6.03
2026-03,2026,3,경상,0.71,5.71,6.42,11.7,12.6,12.5,8.04
2026-03,2026,3,제주,0.48,1.3,1.78,7.9,2.9,3.5,2.71
2026-04,2026,4,서울,0.65,7.73,8.38,10.7,17.0,16.3,11.89
2026-04,2026,4,경기,0.77,8.12,8.9,12.6,17.9,17.3,10.55
2026-04,2026,4,인천,0.33,4.05,4.39,5.4,8.9,8.5,12.27
2026-04,2026,4,강원,1.38,6.8,8.18,22.7,15.0,15.9,4.93
2026-04,2026,4,충청,0.85,6.09,6.94,14.0,13.4,13.5,7.16
2026-04,2026,4,전라,0.93,5.63,6.56,15.3,12.4,12.7,6.05
2026-04,2026,4,경상,0.71,5.73,6.44,11.7,12.6,12.5,8.07
2026-04,2026,4,제주,0.47,1.29,1.77,7.7,2.8,3.4,2.74
