기준월,연도,월,권역,충전속도코드,충전속도,누적충전기,지리단위,출처ID,전국대비비중
2022-06,2022,6,서울,완속,완속,20585,region8,me_charger_status_cumulative_stock_monthly,19.4
2022-06,2022,6,인천,완속,완속,4460,region8,me_charger_status_cumulative_stock_monthly,4.2
2022-06,2022,6,전국,완속,완속,106188,national,me_charger_status_cumulative_stock_monthly,100.0
2022-06,2022,6,전라,완속,완속,9988,region8,me_charger_status_cumulative_stock_monthly,9.4
2022-06,2022,6,제주,완속,완속,3648,region8,me_charger_status_cumulative_stock_monthly,3.4
2022-06,2022,6,충청,완속,완속,11415,region8,me_charger_status_cumulative_stock_monthly,10.7
2022-12,2022,12,강원,급속,급속,1179,region8,me_charger_status_cumulative_stock_monthly,5.8
2022-12,2022,12,경기,급속,급속,3649,region8,me_charger_status_cumulative_stock_monthly,17.9
2022-12,2022,12,경상,급속,급속,5162,region8,me_charger_status_cumulative_stock_monthly,25.4
2022-12,2022,12,서울,급속,급속,2211,region8,me_charger_status_cumulative_stock_monthly,10.9
2022-12,2022,12,인천,급속,급속,819,region8,me_charger_status_cumulative_stock_monthly,4.0
2022-12,2022,12,전국,급속,급속,20357,national,me_charger_status_cumulative_stock_monthly,100.0
2022-12,2022,12,전라,급속,급속,2694,region8,me_charger_status_cumulative_stock_monthly,13.2
2022-12,2022,12,제주,급속,급속,1850,region8,me_charger_status_cumulative_stock_monthly,9.1
2022-12,2022,12,충청,급속,급속,2793,region8,me_charger_status_cumulative_stock_monthly,13.7
2022-12,2022,12,강원,완속,완속,5245,region8,me_charger_status_cumulative_stock_monthly,3.0
2022-12,2022,12,경기,완속,완속,46938,region8,me_charger_status_cumulative_stock_monthly,27.2
2022-12,2022,12,경상,완속,완속,40920,region8,me_charger_status_cumulative_stock_monthly,23.7
2022-12,2022,12,서울,완속,완속,31880,region8,me_charger_status_cumulative_stock_monthly,18.5
2022-12,2022,12,인천,완속,완속,8559,region8,me_charger_status_cumulative_stock_monthly,5.0
2022-12,2022,12,전국,완속,완속,172591,national,me_charger_status_cumulative_stock_monthly,100.0
2022-12,2022,12,전라,완속,완속,15176,region8,me_charger_status_cumulative_stock_monthly,8.8
2022-12,2022,12,제주,완속,완속,4059,region8,me_charger_status_cumulative_stock_monthly,2.4
2022-12,2022,12,충청,완속,완속,19814,region8,me_charger_status_cumulative_stock_monthly,11.5
2023-06,2023,6,강원,급속,급속,1179,region8,me_charger_status_cumulative_stock_monthly,5.8
2023-06,2023,6,경기,급속,급속,3649,region8,me_charger_status_cumulative_stock_monthly,17.9
2023-06,2023,6,경상,급속,급속,5162,region8,me_charger_status_cumulative_stock_monthly,25.4
2023-06,2023,6,서울,급속,급속,2211,region8,me_charger_status_cumulative_stock_monthly,10.9
2023-06,2023,6,인천,급속,급속,819,region8,me_charger_status_cumulative_stock_monthly,4.0
2023-06,2023,6,전국,급속,급속,20357,national,me_charger_status_cumulative_stock_monthly,100.0
2023-06,2023,6,전라,급속,급속,2694,region8,me_charger_status_cumulative_stock_monthly,13.2
2023-06,2023,6,제주,급속,급속,1850,region8,me_charger_status_cumulative_stock_monthly,9.1
2023-06,2023,6,충청,급속,급속,2793,region8,me_charger_status_cumulative_stock_monthly,13.7
2023-06,2023,6,강원,완속,완속,5245,region8,me_charger_status_cumulative_stock_monthly,3.0
2023-06,2023,6,경기,완속,완속,46938,region8,me_charger_status_cumulative_stock_monthly,27.2
2023-06,2023,6,경상,완속,완속,40920,region8,me_charger_status_cumulative_stock_monthly,23.7
2023-06,2023,6,서울,완속,완속,31880,region8,me_charger_status_cumulative_stock_monthly,18.5
2023-06,2023,6,인천,완속,완속,8559,region8,me_charger_status_cumulative_stock_monthly,5.0
2023-06,2023,6,전국,완속,완속,172591,national,me_charger_status_cumulative_stock_monthly,100.0
2023-06,2023,6,전라,완속,완속,15176,region8,me_charger_status_cumulative_stock_monthly,8.8
2023-06,2023,6,제주,완속,완속,4059,region8,me_charger_status_cumulative_stock_monthly,2.4
2023-06,2023,6,충청,완속,완속,19814,region8,me_charger_status_cumulative_stock_monthly,11.5
2023-12,2023,12,강원,급속,급속,1960,region8,me_charger_status_cumulative_stock_monthly,5.7
2023-12,2023,12,경기,급속,급속,7434,region8,me_charger_status_cumulative_stock_monthly,21.6
2023-12,2023,12,경상,급속,급속,8788,region8,me_charger_status_cumulative_stock_monthly,25.5
2023-12,2023,12,서울,급속,급속,4079,region8,me_charger_status_cumulative_stock_monthly,11.9
2023-12,2023,12,인천,급속,급속,1287,region8,me_charger_status_cumulative_stock_monthly,3.7
2023-12,2023,12,전국,급속,급속,34402,national,me_charger_status_cumulative_stock_monthly,100.0
2023-12,2023,12,전라,급속,급속,4220,region8,me_charger_status_cumulative_stock_monthly,12.3
2023-12,2023,12,제주,급속,급속,2068,region8,me_charger_status_cumulative_stock_monthly,6.0
2023-12,2023,12,충청,급속,급속,4566,region8,me_charger_status_cumulative_stock_monthly,13.3
2023-12,2023,12,강원,완속,완속,8555,region8,me_charger_status_cumulative_stock_monthly,3.4
2023-12,2023,12,경기,완속,완속,69930,region8,me_charger_status_cumulative_stock_monthly,27.6
2023-12,2023,12,경상,완속,완속,58658,region8,me_charger_status_cumulative_stock_monthly,23.1
2023-12,2023,12,서울,완속,완속,44480,region8,me_charger_status_cumulative_stock_monthly,17.5
2023-12,2023,12,인천,완속,완속,14202,region8,me_charger_status_cumulative_stock_monthly,5.6
