지표코드,지표명,기준월,연도,월,권역,대당충전기,권역구성비,평균여부,지리단위,출처ID
급속_대당,전기차 1대당 급속충전기 수,2024-06,2024,6,인천,0.39,5.8,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-06,2024,6,강원,1.39,20.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-06,2024,6,충청,0.92,13.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-06,2024,6,전라,1.06,15.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-06,2024,6,경상,0.83,12.2,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-06,2024,6,제주,0.66,9.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-06,2024,6,평균,0.84,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-07,2024,7,서울,0.66,9.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-07,2024,7,경기,0.85,12.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-07,2024,7,인천,0.39,5.8,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-07,2024,7,강원,1.41,20.8,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-07,2024,7,충청,0.93,13.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-07,2024,7,전라,1.05,15.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-07,2024,7,경상,0.84,12.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-07,2024,7,제주,0.64,9.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-07,2024,7,평균,0.84,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-08,2024,8,서울,0.66,9.8,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-08,2024,8,경기,0.84,12.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-08,2024,8,인천,0.39,5.8,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-08,2024,8,강원,1.4,20.8,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-08,2024,8,충청,0.92,13.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-08,2024,8,전라,1.05,15.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-08,2024,8,경상,0.85,12.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-08,2024,8,제주,0.63,9.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-08,2024,8,평균,0.84,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-09,2024,9,서울,0.66,9.9,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-09,2024,9,경기,0.84,12.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-09,2024,9,인천,0.38,5.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-09,2024,9,강원,1.39,20.9,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-09,2024,9,충청,0.91,13.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-09,2024,9,전라,1.03,15.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-09,2024,9,경상,0.83,12.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-09,2024,9,제주,0.61,9.2,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-09,2024,9,평균,0.83,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-10,2024,10,서울,0.62,9.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-10,2024,10,경기,0.8,12.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-10,2024,10,인천,0.37,5.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-10,2024,10,강원,1.38,21.2,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-10,2024,10,충청,0.91,14.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-10,2024,10,전라,1.02,15.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-10,2024,10,경상,0.83,12.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-10,2024,10,제주,0.59,9.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-10,2024,10,평균,0.81,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-11,2024,11,서울,0.62,9.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-11,2024,11,경기,0.79,12.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-11,2024,11,인천,0.36,5.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-11,2024,11,강원,1.36,21.1,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-11,2024,11,충청,0.9,14.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-11,2024,11,전라,1.01,15.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-11,2024,11,경상,0.82,12.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-11,2024,11,제주,0.58,9.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-11,2024,11,평균,0.8,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-12,2024,12,서울,0.61,9.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-12,2024,12,경기,0.81,12.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-12,2024,12,인천,0.37,5.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-12,2024,12,강원,1.37,21.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-12,2024,12,충청,0.93,14.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-12,2024,12,전라,1.02,15.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-12,2024,12,경상,0.83,12.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-12,2024,12,제주,0.58,8.9,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2024-12,2024,12,평균,0.81,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-01,2025,1,서울,0.64,9.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-01,2025,1,경기,0.83,12.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-01,2025,1,인천,0.38,5.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-01,2025,1,강원,1.43,21.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-01,2025,1,충청,0.95,14.2,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-01,2025,1,전라,1.04,15.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-01,2025,1,경상,0.84,12.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-01,2025,1,제주,0.57,8.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-01,2025,1,평균,0.83,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-02,2025,2,서울,0.63,9.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-02,2025,2,경기,0.82,12.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-02,2025,2,인천,0.38,5.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-02,2025,2,강원,1.43,21.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-02,2025,2,충청,0.94,14.2,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-02,2025,2,전라,1.03,15.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-02,2025,2,경상,0.83,12.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-02,2025,2,제주,0.56,8.5,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-02,2025,2,평균,0.82,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-03,2025,3,서울,0.63,9.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-03,2025,3,경기,0.81,12.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-03,2025,3,인천,0.37,5.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-03,2025,3,강원,1.45,22.0,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-03,2025,3,충청,0.93,14.1,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-03,2025,3,전라,1.03,15.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-03,2025,3,경상,0.81,12.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-03,2025,3,제주,0.55,8.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-03,2025,3,평균,0.82,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-04,2025,4,서울,0.63,9.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-04,2025,4,경기,0.79,12.2,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-04,2025,4,인천,0.36,5.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-04,2025,4,강원,1.43,22.1,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-04,2025,4,충청,0.91,14.1,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-04,2025,4,전라,1.01,15.6,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-04,2025,4,경상,0.8,12.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-04,2025,4,제주,0.54,8.3,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-04,2025,4,평균,0.8,,1,average8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-08,2025,8,서울,0.66,10.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-08,2025,8,경기,0.78,12.7,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-08,2025,8,인천,0.33,5.4,0,region8,me_charger_status_ev_per_charger_ratio
급속_대당,전기차 1대당 급속충전기 수,2025-08,2025,8,강원,1.36,22.1,0,region8,me_charger_status_ev_per_charger_ratio
